year_idx,plot_id,species_id,seeds_local,seeds_external,seeds_total,seeds_mean_per_cell,p_seed_mean,p_env_mean,p_est_mean,n_new_saplings,limiting_factor
1,0,1,0.0000,28131.1064,28131.1064,31.2568,0.3126,0.1923,0.0601,66,"GDD(0.435)"
1,0,2,0.0000,480.4723,480.4723,0.5339,0.0053,0.0444,0.0002,0,"Winter(0.113)"
1,0,3,0.0000,89.6670,89.6670,0.0996,0.0010,0.2471,0.0002,1,"GDD(0.403)"
1,0,4,0.0000,794.2015,794.2015,0.8824,0.0088,0.0510,0.0004,0,"Winter(0.113)"
1,0,5,0.0000,863.5212,863.5212,0.9595,0.0096,0.6236,0.0060,5,"GDD(0.624)"
1,0,-1,0.0000,30358.9685,30358.9685,33.7322,0.0000,0.0000,0.0000,72,"PLOT_TOTAL"
1,1,1,0.0000,12612.9542,12612.9542,14.0144,0.1401,0.4719,0.0661,71,"GDD(0.521)"
1,1,2,0.0000,202.4718,202.4718,0.2250,0.0022,0.2820,0.0006,1,"GDD(0.485)"
1,1,3,0.0000,5.0399,5.0399,0.0056,0.0001,0.4938,0.0000,0,"GDD(0.494)"
1,1,4,0.0000,182.8343,182.8343,0.2031,0.0020,0.3037,0.0006,0,"GDD(0.522)"
1,1,5,0.0000,35.2740,35.2740,0.0392,0.0004,0.6809,0.0003,0,"GDD(0.681)"
1,1,-1,0.0000,13038.5741,13038.5741,14.4873,0.0000,0.0000,0.0000,72,"PLOT_TOTAL"
1,2,1,0.0000,4162.0205,4162.0205,4.6245,0.0462,0.3304,0.0153,12,"GDD(0.525)"
1,2,2,0.0000,64.3325,64.3325,0.0715,0.0007,0.1481,0.0001,0,"Winter(0.303)"
1,2,3,0.0000,5.0399,5.0399,0.0056,0.0001,0.3997,0.0000,0,"GDD(0.498)"
1,2,4,0.0000,67.3455,67.3455,0.0748,0.0007,0.1602,0.0001,0,"Winter(0.303)"
1,2,5,0.0000,35.2740,35.2740,0.0392,0.0004,0.6833,0.0003,1,"GDD(0.683)"
1,2,-1,0.0000,4334.0123,4334.0123,4.8156,0.0000,0.0000,0.0000,13,"PLOT_TOTAL"
2,0,1,0.0000,28131.1064,56262.2129,62.5136,0.6251,0.2120,0.1325,109,"GDD(0.427)"
2,0,2,0.0000,480.4723,960.9447,1.0677,0.0107,0.0647,0.0007,1,"Winter(0.169)"
2,0,3,0.0000,89.6670,179.3339,0.1993,0.0020,0.2638,0.0005,0,"GDD(0.394)"
