year_idx,plot_id,plot_name,region_group,lai_total,cc_total,biomass_ag_t_ha,adult_density_ha,sapling_density_ha,sw_top_mean,sw_sub_mean,al_floor_mean,di_annual_mean,GDD_deciduous,GDD_evergreen,T_winter,trees_died,saplings_died,mortality_rate_pct,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,herb_biomass_kg,herb_lai_mean,saplings_established,trees_recruited,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
1,0,"SW1","LL",0.096,0.000,0.163,0.000,800.000,165.786,320.000,1.000,0.000,1014.230,1036.611,-3.760,0,0,0.000,0,0.000,1,1.000,14.713,0.095,72,0,0,0,0.000,0.444
1,1,"SW2","LL",0.099,0.000,0.168,0.000,800.000,172.615,320.000,1.000,0.000,1122.386,1163.716,-2.354,0,0,0.000,0,0.000,1,1.000,15.114,0.098,72,0,0,0,0.000,0.516
1,2,"SW3","LL",0.099,0.000,0.168,0.000,144.444,90.605,320.000,1.000,0.000,1133.363,1169.581,-3.190,0,0,0.000,0,0.000,1,1.000,15.152,0.098,13,0,0,0,0.000,0.532
2,0,"SW1","LL",0.158,0.000,0.264,0.000,2133.333,166.973,320.000,1.000,0.000,1010.264,1025.769,-3.593,0,2,0.000,0,0.000,2,1.375,23.792,0.154,122,0,0,0,0.000,0.438
2,1,"SW2","LL",0.168,0.000,0.280,0.000,1711.111,146.065,320.000,1.000,0.000,1131.066,1194.524,-2.687,0,1,0.000,0,0.000,2,1.468,25.176,0.163,83,0,0,0,0.000,0.534
2,2,"SW3","LL",0.150,0.000,0.253,0.000,666.667,25.857,318.996,1.000,0.054,1238.749,1273.723,-2.490,0,1,0.000,0,0.000,2,1.217,22.799,0.148,48,0,0,0,0.000,0.586
3,0,"SW1","LL",0.265,0.000,0.433,0.000,4100.000,165.954,320.000,1.000,0.000,1122.045,1143.420,-3.160,0,4,0.000,0,0.000,3,1.710,38.974,0.253,181,0,0,0,0.000,0.517
3,1,"SW2","LL",0.275,0.000,0.454,0.000,2422.222,114.897,320.000,1.000,0.000,1091.407,1123.236,-3.487,0,0,0.000,0,0.000,3,2.037,40.842,0.265,64,0,0,0,0.000,0.489
3,2,"SW3","LL",0.252,0.000,0.423,0.000,1011.111,39.097,318.573,1.000,0.003,1238.749,1273.723,-2.490,0,0,0.000,0,0.000,3,1.802,38.105,0.247,31,0,0,0,0.000,0.583
4,0,"SW1","LL",0.415,0.000,0.673,0.000,5055.556,160.550,320.000,1.000,0.000,1019.085,1037.563,-3.393,0,5,0.000,0,0.000,4,2.371,60.550,0.393,91,0,0,0,0.000,0.448
