year_idx,plot_id,plot_name,species_id,adult_count,sapling_count,lai,cc,biomass_sum_kg,mean_dbh_cm,mean_height_m,recruitment_success,saplings_established,trees_died,saplings_died,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
1,0,"SW1",1,0,66,0.000,0.000,0.000,0.000,0.000,0,66,0,0,0,0.000,1,1.000,0,0,0.000,0.431
1,0,"SW1",3,0,1,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0.000,1,1.000,0,0,0.000,0.403
1,0,"SW1",5,0,5,0.000,0.000,0.000,0.000,0.000,0,5,0,0,0,0.000,1,1.000,0,0,0.000,0.624
1,1,"SW2",1,0,71,0.000,0.000,0.000,0.000,0.000,0,71,0,0,0,0.000,1,1.000,0,0,0.000,0.516
1,1,"SW2",2,0,1,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0.000,1,1.000,0,0,0.000,0.485
1,2,"SW3",1,0,12,0.000,0.000,0.000,0.000,0.000,0,12,0,0,0,0.000,1,1.000,0,0,0.000,0.520
1,2,"SW3",5,0,1,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0.000,1,1.000,0,0,0.000,0.683
2,0,"SW1",1,0,173,0.000,0.000,0.000,0.000,0.000,0,109,0,2,0,0.000,2,1.382,0,0,0.000,0.423
2,0,"SW1",2,0,1,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0.000,1,1.000,0,0,0.000,0.383
2,0,"SW1",3,0,1,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,2,2.000,0,0,0.000,0.394
2,0,"SW1",4,0,2,0.000,0.000,0.000,0.000,0.000,0,2,0,0,0,0.000,1,1.000,0,0,0.000,0.447
2,0,"SW1",5,0,15,0.000,0.000,0.000,0.000,0.000,0,10,0,0,0,0.000,2,1.333,0,0,0.000,0.618
2,1,"SW2",1,0,151,0.000,0.000,0.000,0.000,0.000,0,81,0,1,0,0.000,2,1.470,0,0,0.000,0.534
