climate_id	year	month	Temp	Temp_min	Temp_max	Prec	PET
0	1901	1	-4.55	-12.15	3.05	0	37.2
0	1901	2	-2.55	-9.55	4.45	0	44.8
0	1901	3	0.85	-5.95	7.65	0	65.1
0	1901	4	4.55	-2.35	11.45	8.39	81
0	1901	5	8.15	1.65	14.65	32.59	99.2
0	1901	6	11.65	5.75	17.55	88.09	99
0	1901	7	12.95	7.45	18.55	75.09	99.2
0	1901	8	12.35	6.65	18.05	79.49	93
0	1901	9	10.55	4.75	16.35	79.59	78
0	1901	10	6.35	-0.15	12.85	11.89	65.1
0	1901	11	0.45	-6.95	7.85	0.49	42
0	1901	12	-3.05	-10.85	4.75	0	37.2
0	1902	1	-3.95	-11.55	3.65	0	37.2
0	1902	2	-2.75	-9.75	4.25	0	44.8
0	1902	3	1.35	-5.45	8.15	0	65.1
0	1902	4	3.05	-3.85	9.95	14.99	87
0	1902	5	7.95	1.45	14.45	37.59	96.1
0	1902	6	10.55	4.65	16.45	93.79	102
0	1902	7	12.55	7.05	18.15	122.49	99.2
0	1902	8	11.95	6.25	17.65	90.29	93
0	1902	9	10.25	4.45	16.05	139.99	81
0	1902	10	5.15	-1.35	11.65	0	65.1
0	1902	11	-0.15	-7.55	7.25	0	45
0	1902	12	-3.95	-11.75	3.85	0	37.2
0	1903	1	-5.25	-12.85	2.35	0	40.3
0	1903	2	-3.15	-10.15	3.85	0	44.8
0	1903	3	0.15	-6.65	6.95	0	65.1
0	1903	4	4.85	-2.05	11.75	4.19	81
0	1903	5	8.05	1.55	14.55	24.09	99.2
0	1903	6	10.85	4.95	16.75	115.89	102
0	1903	7	13.35	7.85	18.95	67.49	99.2
0	1903	8	11.75	6.05	17.45	111.29	93
0	1903	9	10.75	4.95	16.55	58.79	78
0	1903	10	7.05	0.55	13.55	15.29	62
0	1903	11	0.65	-6.75	8.05	0	42
0	1903	12	-3.35	-11.15	4.45	0	37.2
0	1904	1	-4.75	-12.35	2.85	0	37.2
0	1904	2	-2.75	-9.75	4.25	0	46.4
0	1904	3	0.85	-5.95	7.65	0	65.1
0	1904	4	3.65	-3.25	10.55	26.09	84
0	1904	5	7.25	0.75	13.75	30.19	99.2
0	1904	6	11.65	5.75	17.55	48.69	99
0	1904	7	12.65	7.15	18.25	70.39	99.2
0	1904	8	12.25	6.55	17.95	112.39	93
0	1904	9	10.75	4.95	16.55	47.89	81
0	1904	10	6.15	-0.35	12.65	0	65.1
0	1904	11	-0.25	-7.65	7.15	0	45
0	1904	12	-3.85	-11.65	3.95	0	37.2
0	1905	1	-5.55	-13.15	2.05	0	40.3
0	1905	2	-4.75	-11.75	2.25	0	44.8
0	1905	3	-0.95	-7.75	5.85	0	68.2
0	1905	4	2.55	-4.35	9.45	4.39	87
0	1905	5	7.75	1.25	14.25	17.09	99.2
0	1905	6	11.85	5.95	17.75	56.69	102
0	1905	7	12.95	7.45	18.55	93.29	96.1
0	1905	8	11.45	5.75	17.15	97.89	93
0	1905	9	10.95	5.15	16.75	22.59	78
0	1905	10	6.25	-0.25	12.75	0.39	62
0	1905	11	0.55	-6.85	7.95	0	42
0	1905	12	-3.55	-11.35	4.25	0	37.2
0	1906	1	-4.85	-12.45	2.75	0	37.2
0	1906	2	-3.45	-10.45	3.55	0	44.8
0	1906	3	-0.65	-7.45	6.15	0	68.2
0	1906	4	4.15	-2.75	11.05	36.19	81
0	1906	5	8.15	1.65	14.65	17.19	99.2
0	1906	6	11.55	5.65	17.45	87.09	99
0	1906	7	13.35	7.85	18.95	75.29	96.1
0	1906	8	11.45	5.75	17.15	93.69	89.9
0	1906	9	11.45	5.65	17.25	36.49	78
0	1906	10	6.15	-0.35	12.65	0	62
0	1906	11	0.75	-6.65	8.15	0	42
0	1906	12	-3.15	-10.95	4.65	0	37.2
0	1907	1	-3.55	-11.15	4.05	0	34.1
0	1907	2	-3.05	-10.05	3.95	0	44.8
0	1907	3	-0.85	-7.65	5.95	0	71.3
0	1907	4	3.15	-3.75	10.05	17.09	84
0	1907	5	7.85	1.35	14.35	21.19	99.2
0	1907	6	11.05	5.15	16.95	89.99	102
0	1907	7	12.25	6.75	17.85	103.49	99.2
0	1907	8	12.65	6.95	18.35	62.29	93
0	1907	9	10.15	4.35	15.95	82.79	81
0	1907	10	6.35	-0.15	12.85	0	65.1
0	1907	11	0.55	-6.85	7.95	0	45
0	1907	12	-3.25	-11.05	4.55	0	37.2
0	1908	1	-4.75	-12.35	2.85	0	37.2
0	1908	2	-2.55	-9.55	4.45	0	43.5
0	1908	3	1.25	-5.55	8.05	0	65.1
0	1908	4	6.05	-0.85	12.95	22.39	78
0	1908	5	8.05	1.55	14.55	39.49	99.2
0	1908	6	11.75	5.85	17.65	141.99	99
0	1908	7	12.85	7.35	18.45	129.69	99.2
0	1908	8	12.45	6.75	18.15	45.79	93
0	1908	9	10.65	4.85	16.45	86.09	81
0	1908	10	6.05	-0.45	12.55	4.49	65.1
0	1908	11	0.05	-7.35	7.45	0	45
0	1908	12	-3.75	-11.55	4.05	0	40.3
0	1909	1	-4.55	-12.15	3.05	0	37.2
0	1909	2	-2.65	-9.65	4.35	0	44.8
0	1909	3	2.35	-4.45	9.15	0	65.1
0	1909	4	3.85	-3.05	10.75	7.99	81
0	1909	5	7.65	1.15	14.15	47.69	99.2
0	1909	6	11.05	5.15	16.95	138.39	99
0	1909	7	13.25	7.75	18.85	75.59	96.1
0	1909	8	11.75	6.05	17.45	109.79	93
0	1909	9	11.55	5.75	17.35	35.99	78
0	1909	10	7.05	0.55	13.55	0	62
0	1909	11	1.65	-5.75	9.05	0	39
0	1909	12	-2.85	-10.65	4.95	0	34.1
0	1910	1	-4.55	-12.15	3.05	0	34.1
0	1910	2	-2.65	-9.65	4.35	0	44.8
0	1910	3	0.35	-6.45	7.15	0.09	65.1
0	1910	4	3.75	-3.15	10.65	3.69	84
0	1910	5	8.15	1.65	14.65	14.49	99.2
0	1910	6	10.65	4.75	16.55	175.99	99
0	1910	7	11.95	6.45	17.55	94.29	96.1
0	1910	8	12.05	6.35	17.75	80.09	93
0	1910	9	11.15	5.35	16.95	36.69	78
0	1910	10	5.95	-0.55	12.45	42.49	62
0	1910	11	0.55	-6.85	7.95	0	42
0	1910	12	-3.55	-11.35	4.25	0	37.2
0	1911	1	-3.55	-11.15	4.05	0	34.1
0	1911	2	-3.25	-10.25	3.75	0	44.8
0	1911	3	-0.15	-6.95	6.65	0	68.2
0	1911	4	4.05	-2.85	10.95	9.49	81
0	1911	5	7.45	0.95	13.95	58.59	99.2
0	1911	6	11.25	5.35	17.15	96.49	99
0	1911	7	12.45	6.95	18.05	100.39	99.2
0	1911	8	11.95	6.25	17.65	70.69	93
0	1911	9	10.55	4.75	16.35	66.69	78
0	1911	10	5.55	-0.95	12.05	47.29	65.1
0	1911	11	-0.35	-7.75	7.05	0	45
0	1911	12	-4.25	-12.05	3.55	0	40.3
0	1912	1	-4.25	-11.85	3.35	0	37.2
0	1912	2	-2.35	-9.35	4.65	0	43.5
0	1912	3	-0.05	-6.85	6.75	0	68.2
0	1912	4	2.55	-4.35	9.45	1.39	87
0	1912	5	8.15	1.65	14.65	21.19	99.2
0	1912	6	11.45	5.55	17.35	88.29	99
0	1912	7	12.35	6.85	17.95	123.39	99.2
0	1912	8	11.95	6.25	17.65	91.09	93
0	1912	9	10.65	4.85	16.45	86.29	81
0	1912	10	5.75	-0.75	12.25	13.39	65.1
0	1912	11	0.45	-6.95	7.85	0	42
0	1912	12	-3.55	-11.35	4.25	0	37.2
0	1913	1	-4.25	-11.85	3.35	0	37.2
0	1913	2	-2.05	-9.05	4.95	0	44.8
0	1913	3	-0.15	-6.95	6.65	0	68.2
0	1913	4	4.05	-2.85	10.95	37.69	81
0	1913	5	6.75	0.25	13.25	71.29	102.3
0	1913	6	10.85	4.95	16.75	92.49	99
0	1913	7	12.95	7.45	18.55	65.59	99.2
0	1913	8	12.15	6.45	17.85	75.49	93
0	1913	9	10.45	4.65	16.25	59.29	78
0	1913	10	5.85	-0.65	12.35	49.39	62
0	1913	11	-0.45	-7.85	6.95	0	45
0	1913	12	-4.05	-11.85	3.75	0	37.2
0	1914	1	-4.45	-12.05	3.15	0	37.2
0	1914	2	-2.65	-9.65	4.35	0	44.8
0	1914	3	0.45	-6.35	7.25	0	65.1
0	1914	4	2.85	-4.05	9.75	3.19	84
0	1914	5	8.05	1.55	14.55	22.19	96.1
0	1914	6	11.95	6.05	17.85	65.99	99
0	1914	7	13.25	7.75	18.85	96.49	96.1
0	1914	8	11.55	5.85	17.25	86.99	93
0	1914	9	10.35	4.55	16.15	44.29	81
0	1914	10	4.65	-1.85	11.15	0.89	65.1
0	1914	11	0.15	-7.25	7.55	0	45
0	1914	12	-2.85	-10.65	4.95	0	34.1
0	1915	1	-3.35	-10.95	4.25	0	31
0	1915	2	-2.35	-9.35	4.65	0	44.8
0	1915	3	0.55	-6.25	7.35	0	65.1
0	1915	4	4.55	-2.35	11.45	0	81
0	1915	5	7.65	1.15	14.15	49.49	99.2
0	1915	6	10.75	4.85	16.65	112.99	102
0	1915	7	12.55	7.05	18.15	143.89	99.2
0	1915	8	12.05	6.35	17.75	93.09	93
0	1915	9	10.35	4.55	16.15	67.29	78
0	1915	10	8.15	1.65	14.65	18.09	65.1
0	1915	11	2.25	-5.15	9.65	0	39
0	1915	12	-2.65	-10.45	5.15	0	34.1
0	1916	1	-4.25	-11.85	3.35	0	34.1
0	1916	2	-2.25	-9.25	4.75	0	43.5
0	1916	3	1.75	-5.05	8.55	0	65.1
0	1916	4	4.15	-2.65	10.95	8.09	81
0	1916	5	8.55	2.05	15.05	59.49	99.2
0	1916	6	12.05	6.15	17.95	112.09	99
0	1916	7	12.35	6.85	17.95	92.69	96.1
0	1916	8	12.45	6.85	18.15	81.29	93
0	1916	9	11.15	5.45	16.95	40.09	78
0	1916	10	6.25	-0.15	12.65	0	62
0	1916	11	1.45	-5.85	8.75	0	39
0	1916	12	-3.45	-11.15	4.25	0	34.1
0	1917	1	-4.95	-12.55	2.65	0	37.2
0	1917	2	-3.15	-10.15	3.85	0	44.8
0	1917	3	0.15	-6.65	6.95	0	68.2
0	1917	4	3.55	-3.25	10.35	16.59	84
0	1917	5	8.25	1.75	14.85	29.09	99.2
0	1917	6	11.35	5.55	17.15	138.89	96
0	1917	7	12.75	7.25	18.35	107.99	96.1
0	1917	8	12.55	6.95	18.15	79.59	89.9
0	1917	9	10.75	5.05	16.45	48.09	78
0	1917	10	6.45	0.05	12.85	9.09	62
0	1917	11	1.55	-5.75	8.85	0	39
0	1917	12	-3.25	-11.15	4.65	0	37.2
0	1918	1	-4.85	-12.45	2.75	0	37.2
0	1918	2	-2.75	-9.75	4.25	0	44.8
0	1918	3	0.85	-5.75	7.45	0	62
0	1918	4	3.85	-2.95	10.65	0	78
0	1918	5	8.75	2.45	15.15	27.59	99.2
0	1918	6	10.45	4.65	16.25	156.59	96
0	1918	7	12.75	7.25	18.25	93.29	99.2
0	1918	8	11.95	6.45	17.55	58.79	89.9
0	1918	9	10.95	5.15	16.75	54.59	78
0	1918	10	6.45	0.05	12.85	0.49	62
0	1918	11	0.35	-7.05	7.75	0	45
0	1918	12	-3.25	-11.15	4.65	0	37.2
0	1919	1	-3.55	-11.15	4.05	0	34.1
0	1919	2	-2.65	-9.65	4.35	0	42
0	1919	3	2.35	-4.45	9.15	0	65.1
0	1919	4	4.35	-2.55	11.25	0	84
0	1919	5	8.45	1.85	15.05	45.79	102.3
0	1919	6	11.95	6.15	17.85	113.79	99
0	1919	7	12.85	7.35	18.35	120.89	96.1
0	1919	8	13.25	7.65	18.95	44.69	89.9
0	1919	9	9.95	4.15	15.75	67.49	81
0	1919	10	6.05	-0.45	12.55	56.29	62
0	1919	11	1.45	-5.75	8.65	0	39
0	1919	12	-2.75	-10.45	4.95	0	34.1
0	1920	1	-3.25	-10.75	4.25	0	31
0	1920	2	-2.95	-9.85	3.95	0	46.4
0	1920	3	0.15	-6.45	6.75	0	65.1
0	1920	4	3.75	-3.15	10.65	0	84
0	1920	5	7.55	1.05	14.05	25.79	99.2
0	1920	6	11.55	5.65	17.45	98.59	102
0	1920	7	13.65	8.15	19.15	79.49	96.1
0	1920	8	12.15	6.45	17.85	86.39	93
0	1920	9	10.85	5.15	16.55	51.29	78
0	1920	10	6.65	0.15	13.15	0	62
0	1920	11	0.95	-6.55	8.45	0	45
0	1920	12	-1.75	-9.55	6.05	0	34.1
0	1921	1	-3.25	-10.95	4.45	0	34.1
0	1921	2	-2.45	-9.45	4.55	0	44.8
0	1921	3	1.45	-5.25	8.15	0	62
0	1921	4	4.65	-2.25	11.55	20.49	84
0	1921	5	8.45	2.05	14.85	60.09	96.1
0	1921	6	11.05	5.25	16.85	95.29	99
0	1921	7	12.95	7.45	18.45	94.49	99.2
0	1921	8	12.65	7.05	18.25	109.49	93
0	1921	9	11.05	5.25	16.85	92.99	78
0	1921	10	5.15	-1.35	11.65	27.59	65.1
0	1921	11	0.75	-6.55	8.05	0	42
0	1921	12	-2.85	-10.65	4.95	0	37.2
0	1922	1	-3.45	-11.15	4.25	0	37.2
0	1922	2	-1.75	-8.95	5.45	0	44.8
0	1922	3	1.85	-4.85	8.55	0	62
0	1922	4	5.65	-1.15	12.45	1.59	78
0	1922	5	8.95	2.55	15.45	25.49	99.2
0	1922	6	11.45	5.65	17.25	96.09	99
0	1922	7	12.95	7.55	18.45	99.39	99.2
0	1922	8	12.35	6.75	17.95	91.39	89.9
0	1922	9	11.15	5.45	16.95	54.99	78
0	1922	10	6.15	-0.35	12.65	5.79	65.1
0	1922	11	1.15	-6.05	8.35	0	39
0	1922	12	-2.75	-10.55	5.05	0	34.1
0	1923	1	-3.35	-11.15	4.45	0	37.2
0	1923	2	-2.75	-9.55	4.05	0	42
0	1923	3	1.95	-4.95	8.85	0	65.1
0	1923	4	5.05	-1.75	11.85	3.49	78
0	1923	5	7.75	1.25	14.25	50.79	99.2
0	1923	6	11.35	5.55	17.25	90.39	99
0	1923	7	12.85	7.35	18.45	133.89	99.2
0	1923	8	12.85	7.25	18.55	59.79	89.9
0	1923	9	10.65	4.85	16.45	109.99	81
0	1923	10	5.95	-0.55	12.45	0.19	65.1
0	1923	11	1.35	-5.95	8.65	0	39
0	1923	12	-2.35	-10.15	5.45	0	34.1
0	1924	1	-3.85	-11.55	3.85	0	37.2
0	1924	2	-2.25	-9.15	4.65	0	43.5
0	1924	3	3.05	-3.85	9.95	0	65.1
0	1924	4	5.45	-1.35	12.25	0	78
0	1924	5	7.85	1.35	14.35	50.79	99.2
0	1924	6	11.85	6.05	17.65	93.99	96
0	1924	7	12.65	7.25	18.15	145.19	96.1
0	1924	8	11.95	6.45	17.55	97.59	93
0	1924	9	10.25	4.45	16.05	68.89	78
0	1924	10	7.25	0.85	13.65	24.19	62
0	1924	11	0.95	-6.25	8.15	0	39
0	1924	12	-2.55	-10.35	5.25	0	34.1
0	1925	1	-5.15	-12.75	2.45	0	37.2
0	1925	2	-3.35	-10.25	3.55	0	42
0	1925	3	0.95	-5.85	7.75	0	68.2
0	1925	4	4.25	-2.55	11.05	0	78
0	1925	5	6.95	0.45	13.45	63.69	96.1
0	1925	6	11.85	6.05	17.75	101.59	99
0	1925	7	12.85	7.35	18.45	97.79	99.2
0	1925	8	12.25	6.75	17.85	90.89	93
0	1925	9	10.05	4.25	15.85	85.19	78
0	1925	10	5.45	-0.95	11.85	0	62
0	1925	11	0.45	-6.95	7.85	0	45
0	1925	12	-3.65	-11.45	4.15	0	37.2
0	1926	1	-3.65	-11.25	3.95	0	37.2
0	1926	2	-2.15	-9.05	4.75	0	42
0	1926	3	0.15	-6.45	6.75	0	65.1
0	1926	4	3.85	-3.05	10.75	2.69	84
0	1926	5	8.25	1.75	14.75	40.89	99.2
0	1926	6	11.65	5.85	17.55	88.89	102
0	1926	7	12.95	7.55	18.45	118.69	99.2
0	1926	8	12.95	7.35	18.55	51.19	93
0	1926	9	11.35	5.65	17.15	36.89	78
0	1926	10	7.05	0.55	13.55	39.09	65.1
0	1926	11	0.45	-6.85	7.75	0	45
0	1926	12	-1.95	-9.65	5.75	0	31
0	1927	1	-3.95	-11.45	3.55	0	34.1
0	1927	2	-3.15	-9.95	3.65	0	44.8
0	1927	3	-0.35	-7.15	6.45	0	71.3
0	1927	4	4.05	-2.75	10.85	14.99	81
0	1927	5	7.95	1.55	14.35	18.99	96.1
0	1927	6	11.95	6.15	17.75	91.89	102
0	1927	7	13.75	8.25	19.35	94.69	102.3
0	1927	8	12.55	6.95	18.15	76.79	93
0	1927	9	10.65	4.85	16.45	129.19	81
0	1927	10	6.85	0.45	13.25	41.89	65.1
0	1927	11	0.55	-6.75	7.85	0	42
0	1927	12	-2.35	-10.25	5.55	0	40.3
0	1928	1	-3.65	-11.25	3.95	0	37.2
0	1928	2	-1.05	-8.05	5.95	0	43.5
0	1928	3	2.15	-4.65	8.95	0	68.2
0	1928	4	5.65	-1.25	12.55	0	84
0	1928	5	8.15	1.65	14.65	52.39	99.2
0	1928	6	11.25	5.45	17.05	121.39	96
0	1928	7	13.55	8.05	19.15	89.59	99.2
0	1928	8	12.45	6.85	18.05	94.79	93
0	1928	9	11.15	5.35	16.95	103.69	78
0	1928	10	5.85	-0.65	12.35	21.99	62
0	1928	11	0.05	-7.35	7.45	0	45
0	1928	12	-2.35	-10.25	5.55	0	40.3
0	1929	1	-3.95	-11.45	3.55	0	37.2
0	1929	2	-2.75	-9.75	4.25	0	44.8
0	1929	3	1.55	-5.25	8.35	0	65.1
0	1929	4	4.25	-2.55	11.05	5.99	81
0	1929	5	7.85	1.45	14.25	89.09	99.2
0	1929	6	11.75	5.95	17.55	95.89	99
0	1929	7	13.25	7.75	18.85	72.09	99.2
0	1929	8	12.85	7.25	18.45	67.89	93
0	1929	9	10.95	5.25	16.75	52.39	81
